pair_id,image1_id,image1_path,image2_id,image2_path,cosine_similarity,label,label_desc
1,3020000028667-02,img/3020000028667-09-01__3020000028667-02.JPG,3020000006440-03,img/3020000006440-09-01__3020000006440-03.JPG,0.7110602855682373,1,유사(침해위험 높음)
2,3020000001542-03,img/3020000001542-09-01__3020000001542-03.JPG,3020000031247-07,img/3020000031247-09-01__3020000031247-07.JPG,0.6048897504806519,0,비유사(침해위험 낮음)
3,3020000015227-06,img/3020000015227-09-01__3020000015227-06.JPG,3020000013865-04,img/3020000013865-09-01__3020000013865-04.JPG,0.556718647480011,0,비유사(침해위험 낮음)
4,3020000012834-06,img/3020000012834-09-01__3020000012834-06.JPG,3020000007444-07,img/3020000007444-09-01__3020000007444-07.JPG,0.5720817446708679,0,비유사(침해위험 낮음)
5,3020000031167-07,img/3020000031167-09-01__3020000031167-07.JPG,3020000006096-04,img/3020000006096-09-01__3020000006096-04.JPG,0.5777589082717896,0,비유사(침해위험 낮음)
6,3020000029872-07,img/3020000029872-09-01__3020000029872-07.JPG,3020000031247-03,img/3020000031247-09-01__3020000031247-03.JPG,0.5501784086227417,0,비유사(침해위험 낮음)
7,3020000024535-06,img/3020000024535-09-01__3020000024535-06.JPG,3020000005311-05,img/3020000005311-09-01__3020000005311-05.JPG,0.7227282524108887,1,유사(침해위험 높음)
8,3020000025935-05,img/3020000025935-09-01__3020000025935-05.JPG,3020000019482-03,img/3020000019482-09-01__3020000019482-03.JPG,0.5035487413406372,0,비유사(침해위험 낮음)
9,3020000002022-03,img/3020000002022-09-01__3020000002022-03.JPG,3020000001944-02,img/3020000001944-09-01__3020000001944-02.JPG,0.7305302023887634,1,유사(침해위험 높음)
10,3020000005653-04,img/3020000005653-09-01__3020000005653-04.JPG,3020000012831-04,img/3020000012831-09-01__3020000012831-04.JPG,0.6680873036384583,0,비유사(침해위험 낮음)
11,3020000013606-02,img/3020000013606-09-01__3020000013606-02.JPG,3020000023317-02,img/3020000023317-09-01__3020000023317-02.JPG,0.6841535568237305,0,비유사(침해위험 낮음)
