pair_id,design1_id,design2_id,design1_name,design2_name,design1_image_url,design2_image_url,image_similarity,text_similarity,total_similarity,label
1,3020000024538-09-01,3020000004487-09-01,세제용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b005b3db6b458aa73bad765829c40530d0cdae46fabefe56402d5248786c525b58,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b03069a7817908f14f55bc66521fca1f114f22f288a18e0661cc70ceac651e1c09,0.8497618436813354,0.7984219789505005,0.834359884262085,0
2,3020000032577-09-01,3020000007014-09-01,화장품 용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b056fef538e42de114a5789ee7e1d70e89bcd4e8929ad70eb4cd66931ad54345cc,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0fdcd45318d7ff23c36f1af0f6d6ef8038c2a5436c7df5cebfff55f5774606def,0.9384268522262573,0.8966283202171326,0.9258873462677002,0
3,3020000011906-09-01,3020000001557-09-01,포장용 용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b070abdd713d0b290a0b1bd5557f830a499fe53da63e378f7cdc965c8573efdb95,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0b700f0235c7824b02742d12238f52e5f07b186765f2083893cb62b358e8d6860,0.6527671217918396,0.7757295370101929,0.6896558403968811,0
4,3020000018222-09-01,3020000006610-09-01,포장용 용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0deac54f8925f4c7d4987cce9cfe8722f3db950a0fbab00c92943688e4c586577,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0187836737e94fb395ddfdaf352f7ad6a113f739e743d6b3b271ce9368f14da7d,0.8211086392402649,0.898635745048523,0.8443667888641357,0
5,3020000029877-09-01,3020000007584-09-01,화장품용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b011f68ef22f394dd26a964075748e6c188d7c175d4f7b5669dbfc07d81aacda75,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0fdcd45318d7ff23cbe8f9d6b58b35c17b9be175719b4f014e3760c7329773425,0.8640530705451965,0.9772142171859741,0.8980014324188232,0
6,3020000021275-09-01,3020000000778-09-01,화장품 용기,포장용 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b006449c7f1c85a4a7de0ff8d7dc536a1cde2ebc06e6386121c7b3a7ffe3ade0e4,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0cc72ed919b3423003267d3a705c3e4d98f27ea2c522497ceb3fc3dc06605d783,0.8677709102630615,0.7634465098381042,0.8364735841751099,0
7,3020000028283-09-01,3020000022105-09-01,포장용 용기,포장용 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0227542a1f24a7361c5f2b82111502f215f83c11efd778e7bff23331b0aa06a60,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b02e6ec20e9488ca666f5fe34b46e8fbf6bc377969b3616530de3e95727eb06003,0.8202175498008728,0.8523706197738647,0.8298634886741638,0
8,3020000013606-09-01,3020000015506-09-01,화장품 용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0bdcfae06342df685b5160b34fe202fbfabfe2536a403a69d8a290d761b932af7,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b07ba686bc001e12b758e859cb1aaaedada4700c39c98bcc9818b23e18e926e777,0.8023701310157776,0.9630436897277832,0.8505722284317017,0
9,3020000023255-09-01,3020000014156-09-01,식품용용기,포장용 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b09b1f6789fb975124ddde99bf437cdce8167068b4ae391de3d9b19b2230db7a21,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0606f4df1f99f40811db3d332d4213ea5a0c3abbac09cc95ef0d9432b0471a01e,0.8962273597717285,0.8149027228355408,0.8718299865722656,0
10,3020000007445-09-01,3020000021814-09-01,샴푸용기,화장품 용기,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b0fdcd45318d7ff23c308bbaa2658dde0908ce1448e4d7f44ea491593a3fe3a535,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=75a63eed5a438998f9dc3380f5cb642cd56dcb0e0f0995b006449c7f1c85a4a7187d3aa3a76c31b34df56d1f9862991df215dc27c29e1bdc,0.7213749289512634,0.7340215444564819,0.7251689434051514,0
